0	99.5
3.12	73.5
6.25	66.5
12.5	22.5
25	9.0
50	14.0
0	99.5
3.12	99.0
6.25	65.0
12.5	34.5
25	15.0
50	9.5
0	99.5
3.12	128.0
6.25	49.0
12.5	49.0
25	28.0
50	13.0
0	99.5
3.12	99.0
6.25	89.0
12.5	64.0
25	22.0
50	14.0
0	100.0
3.12	97.0
6.25	92.0
12.5	38.0
25	12.0
50	5.5
0	99.5
3.12	100.0
6.25	98.0
12.5	82.5
25	54.0
50	14.5
0	100.0
3.12	98.0
6.25	96.5
12.5	93.0
25	58.5
50	20.0
